MERCP,USDI - NATIONAL PARK SERVICE (Roosevelt-Campabello Int'l Park)
NHSGP,USDI - NATIONAL PARK SERVICE (Saint-Gaudens NHS)
NJEDP,USDI - NATIONAL PARK SERVICE (Edison NHS)
NJMOP,USDI - NATIONAL PARK SERVICE (Morristown NHP)
NYFDP,USDI - NATIONAL PARK SERVICE (Home of Franklin D. Roosevelt NHS)
NYFIP,USDI - NATIONAL PARK SERVICE (Fire Island National Seashore)
NYFOP,USDI - NATIONAL PARK SERVICE (Ft. Sanwix NM)
NYGAP,USDI - NATIONAL PARK SERVICE (Gateway NRA)
NYMAP,USDI - NATIONAL PARK SERVICE (Manhattan Sites)
NYMVP,USDI - NATIONAL PARK SERVICE (Martin Van Buren NHS)
NYRVP,USDI - NATIONAL PARK SERVICE (Roosevelt/Vanderbilt NHS)
NYSHP,USDI - NATIONAL PARK SERVICE (Sagamore Hill NHS)
NYSPP,USDI - NATIONAL PARK SERVICE (Saint Paul's Church NHS)
NYSRP,USDI - NATIONAL PARK SERVICE (Saratoga NHP)
NYSTP,USDI - NATIONAL PARK SERVICE (Statue of Liberty NM)
NYUDP,USDI - NATIONAL PARK SERVICE (Upper Delaware NSR)
NYWOP,USDI - NATIONAL PARK SERVICE (Woman's Rights NHP)
PAAPP,USDI - NATIONAL PARK SERVICE (Allegheny Portage Railroad NHS)
PADWP,USDI - NATIONAL PARK SERVICE (Delaware Water Gap NRA)
PAFHP,USDI - NATIONAL PARK SERVICE (Friendship Hill NHS)
PAFNP,USDI - NATIONAL PARK SERVICE (Ft. Necessity NB)
PAGEP,USDI - NATIONAL PARK SERVICE (Gettysburg NMP)
PAHEP,USDI - NATIONAL PARK SERVICE (Hopwell Furnace NHS)
PAINP,USDI - NATIONAL PARK SERVICE (Independence NHP)
PAJFP,USDI - NATIONAL PARK SERVICE (Johnstown Flood NM)
PASTP,USDI - NATIONAL PARK SERVICE (Steamtown NHS)
PAVFP,USDI - NATIONAL PARK SERVICE (Valley Forge NHP)
RIROP,USDI - NATIONAL PARK SERVICE (Roger Williams NM)
VTMBP,USDI - NATIONAL PARK SERVICE (Marsh-Billings-Rockefeller NHP)
WVNRP,USDI - NATIONAL PARK SERVICE (New River Gorge NR)
IAEMP,USDI - NATIONAL PARK SERVICE (Effigy Mounds NM)
IAHHP,USDI - NATIONAL PARK SERVICE (Herbert Hoover NHS)
ILCPP,USDI - NATIONAL PARK SERVICE (Chicago Portage NHS)
ILIMP,USDI - NATIONAL PARK SERVICE (Illinois and Michigan Canal NHC)
ILLHP,USDI - NATIONAL PARK SERVICE (Lincoln Home NHS)
INGRP,USDI - NATIONAL PARK SERVICE (George Rogers Clark NHP)
INIDP,USDI - NATIONAL PARK SERVICE (Indiana Dunes National Lakeshore)
INLBP,USDI - NATIONAL PARK SERVICE (Lincoln Boyhood NM)
MILBP,USDI - NATIONAL PARK SERVICE (Automobile NHA I)
